EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.04712888,2.423302e-06,0.04712888,0.047126453,0.0471313,23.342373,9.885095,23.342373,13.457277,33.227467,12.0,1799
0.067330256,0.0,0.067330256,0.067330256,0.067330256,48.93252,0.0,48.93252,48.93252,48.93252,8.0,1804
0.037032843,0.016832903,0.037032843,0.02019994,0.053865746,12.893841,9.588924,12.893841,3.3049154,22.482765,9.0,1811
0.067324676,0.0,0.067324676,0.067324676,0.067324676,48.231476,0.0,48.231476,48.231476,48.231476,8.0,1817
0.058355723,0.05424018,0.026932359,0.013466873,0.13466793,208.15498,292.49258,1.4774561,1.1855488,621.80194,24.0,1831
0.08079672,0.0,0.08079672,0.08079672,0.08079672,90.433365,0.0,90.433365,90.433365,90.433365,10.0,1837
0.047133863,0.02020022,0.047133863,0.026933644,0.067334086,27.797543,20.516695,27.797543,7.280848,48.314236,12.0,1845
0.05723151,0.010101229,0.05723151,0.04713028,0.06733274,51.62778,38.21165,51.62778,13.416131,89.83943,15.0,1851
0.057232022,0.030298999,0.057232022,0.026933026,0.08753102,93.816444,92.306076,93.816444,1.5103652,186.12253,15.0,1860
0.057231933,0.05049871,0.057231933,0.006733223,0.10773064,166.9789,166.72502,166.9789,0.2538767,333.70392,15.0,1870
0.101001434,0.0,0.101001434,0.101001434,0.101001434,187.56989,0.0,187.56989,187.56989,187.56989,13.0,1875
0.037032623,0.010099333,0.037032623,0.02693329,0.047131956,10.423346,3.0513144,10.423346,7.372031,13.47466,9.0,1882
0.09426744,0.0067335255,0.09426744,0.08753391,0.101000965,186.51956,1.0138702,186.51956,185.50569,187.53343,26.0,1892
0.060599104,0.026932707,0.060599104,0.0336664,0.08753181,65.68169,52.53744,65.68169,13.144242,118.219124,16.0,1904
0.04713356,4.8056245e-07,0.04713356,0.04713308,0.04713404,23.186241,9.277275,23.186241,13.908967,32.463516,12.0,1912
0.053866096,0.033666477,0.053866096,0.020199617,0.08753257,93.458206,92.95217,93.458206,0.50603527,186.41037,14.0,1922
0.10100137,0.0,0.10100137,0.10100137,0.10100137,186.23474,0.0,186.23474,186.23474,186.23474,13.0,1925
0.02693361,0.013466742,0.02693361,0.013466869,0.040400352,4.3364267,3.0765553,4.3364267,1.2598712,7.412982,6.0,1934
0.050499562,0.04376612,0.050499562,0.006733442,0.094265684,114.82364,114.57808,114.82364,0.24555893,229.40172,13.0,1945
0.08079937,0.0,0.08079937,0.08079937,0.08079937,89.63467,0.0,89.63467,89.63467,89.63467,10.0,1949
0.037033394,0.010099889,0.037033394,0.026933504,0.04713328,17.200733,15.658237,17.200733,1.5424963,32.85897,9.0,1958
0.07743354,0.030301291,0.07743354,0.047132246,0.10773483,172.11787,158.45744,172.11787,13.660421,330.57532,21.0,1968
0.09090019,0.0033669174,0.09090019,0.08753327,0.09426711,168.26567,18.671417,168.26567,149.59425,186.93709,25.0,1979
